scenario,Z_fixed,mu0,sigma0,tau_half_cauchy_scale,sigma_y_estimate,sigma_c_estimate,n_direct,timepoints,missing_count,missing_rate,posterior_mu_mean,posterior_tau_mean,completed_dataset,missing_summary,trace_file
fixedZ_0p9_muSD_5p0_tauHC_1p0,0.9,0.0,5.0,1.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.27297934769620197,3.5924974762375737,_smoke_fixedZ_results\completed_direct_fixedZ_0p9_muSD_5p0_tauHC_1p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p9_muSD_5p0_tauHC_1p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p9_muSD_5p0_tauHC_1p0.csv
fixedZ_0p9_muSD_5p0_tauHC_2p5,0.9,0.0,5.0,2.5,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.3264018602638767,8.981243690593935,_smoke_fixedZ_results\completed_direct_fixedZ_0p9_muSD_5p0_tauHC_2p5.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p9_muSD_5p0_tauHC_2p5.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p9_muSD_5p0_tauHC_2p5.csv
fixedZ_0p9_muSD_5p0_tauHC_5p0,0.9,0.0,5.0,5.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.3355717566240941,17.96248738118787,_smoke_fixedZ_results\completed_direct_fixedZ_0p9_muSD_5p0_tauHC_5p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p9_muSD_5p0_tauHC_5p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p9_muSD_5p0_tauHC_5p0.csv
fixedZ_0p9_muSD_10p0_tauHC_1p0,0.9,0.0,10.0,1.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.2730151372022473,3.5924974762375737,_smoke_fixedZ_results\completed_direct_fixedZ_0p9_muSD_10p0_tauHC_1p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p9_muSD_10p0_tauHC_1p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p9_muSD_10p0_tauHC_1p0.csv
fixedZ_0p9_muSD_10p0_tauHC_2p5,0.9,0.0,10.0,2.5,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.3266357165543226,8.981243690593935,_smoke_fixedZ_results\completed_direct_fixedZ_0p9_muSD_10p0_tauHC_2p5.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p9_muSD_10p0_tauHC_2p5.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p9_muSD_10p0_tauHC_2p5.csv
fixedZ_0p9_muSD_10p0_tauHC_5p0,0.9,0.0,10.0,5.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.3364947650027496,17.96248738118787,_smoke_fixedZ_results\completed_direct_fixedZ_0p9_muSD_10p0_tauHC_5p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p9_muSD_10p0_tauHC_5p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p9_muSD_10p0_tauHC_5p0.csv
fixedZ_0p7_muSD_5p0_tauHC_1p0,0.7,0.0,5.0,1.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.33492089072535736,3.5924974762375737,_smoke_fixedZ_results\completed_direct_fixedZ_0p7_muSD_5p0_tauHC_1p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p7_muSD_5p0_tauHC_1p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p7_muSD_5p0_tauHC_1p0.csv
fixedZ_0p7_muSD_5p0_tauHC_2p5,0.7,0.0,5.0,2.5,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.3606758836628443,8.981243690593935,_smoke_fixedZ_results\completed_direct_fixedZ_0p7_muSD_5p0_tauHC_2p5.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p7_muSD_5p0_tauHC_2p5.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p7_muSD_5p0_tauHC_2p5.csv
fixedZ_0p7_muSD_5p0_tauHC_5p0,0.7,0.0,5.0,5.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.360720945412057,17.96248738118787,_smoke_fixedZ_results\completed_direct_fixedZ_0p7_muSD_5p0_tauHC_5p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p7_muSD_5p0_tauHC_5p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p7_muSD_5p0_tauHC_5p0.csv
fixedZ_0p7_muSD_10p0_tauHC_1p0,0.7,0.0,10.0,1.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.33496317491214606,3.5924974762375737,_smoke_fixedZ_results\completed_direct_fixedZ_0p7_muSD_10p0_tauHC_1p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p7_muSD_10p0_tauHC_1p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p7_muSD_10p0_tauHC_1p0.csv
fixedZ_0p7_muSD_10p0_tauHC_2p5,0.7,0.0,10.0,2.5,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.36092832111828693,8.981243690593935,_smoke_fixedZ_results\completed_direct_fixedZ_0p7_muSD_10p0_tauHC_2p5.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p7_muSD_10p0_tauHC_2p5.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p7_muSD_10p0_tauHC_2p5.csv
fixedZ_0p7_muSD_10p0_tauHC_5p0,0.7,0.0,10.0,5.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.3617067656007465,17.96248738118787,_smoke_fixedZ_results\completed_direct_fixedZ_0p7_muSD_10p0_tauHC_5p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p7_muSD_10p0_tauHC_5p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p7_muSD_10p0_tauHC_5p0.csv
fixedZ_0p5_muSD_5p0_tauHC_1p0,0.5,0.0,5.0,1.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.37064529565442905,3.5924974762375737,_smoke_fixedZ_results\completed_direct_fixedZ_0p5_muSD_5p0_tauHC_1p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p5_muSD_5p0_tauHC_1p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p5_muSD_5p0_tauHC_1p0.csv
fixedZ_0p5_muSD_5p0_tauHC_2p5,0.5,0.0,5.0,2.5,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.3872043465268343,8.981243690593935,_smoke_fixedZ_results\completed_direct_fixedZ_0p5_muSD_5p0_tauHC_2p5.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p5_muSD_5p0_tauHC_2p5.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p5_muSD_5p0_tauHC_2p5.csv
fixedZ_0p5_muSD_5p0_tauHC_5p0,0.5,0.0,5.0,5.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.3855186312235729,17.96248738118787,_smoke_fixedZ_results\completed_direct_fixedZ_0p5_muSD_5p0_tauHC_5p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p5_muSD_5p0_tauHC_5p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p5_muSD_5p0_tauHC_5p0.csv
fixedZ_0p5_muSD_10p0_tauHC_1p0,0.5,0.0,10.0,1.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.37069109935258493,3.5924974762375737,_smoke_fixedZ_results\completed_direct_fixedZ_0p5_muSD_10p0_tauHC_1p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p5_muSD_10p0_tauHC_1p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p5_muSD_10p0_tauHC_1p0.csv
fixedZ_0p5_muSD_10p0_tauHC_2p5,0.5,0.0,10.0,2.5,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.38747325249714026,8.981243690593935,_smoke_fixedZ_results\completed_direct_fixedZ_0p5_muSD_10p0_tauHC_2p5.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p5_muSD_10p0_tauHC_2p5.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p5_muSD_10p0_tauHC_2p5.csv
fixedZ_0p5_muSD_10p0_tauHC_5p0,0.5,0.0,10.0,5.0,1.6975639410640113,1.4150615428389575,1200,3,1284,0.3566666666666667,0.3865698671987572,17.96248738118787,_smoke_fixedZ_results\completed_direct_fixedZ_0p5_muSD_10p0_tauHC_5p0.csv,_smoke_fixedZ_results\missing_posterior_summary_fixedZ_0p5_muSD_10p0_tauHC_5p0.csv,_smoke_fixedZ_results\trace_mu_tau_fixedZ_0p5_muSD_10p0_tauHC_5p0.csv
